GridcellIndex,FunctionalGroupIndex,JuvenileMass,AdultMass,IndividualBodyMass,CohortAbundance,LogOptimalPreyBodySizeRatio,BirthTimeStep,ProportionTimeActive,TrophicIndex,IndividualReproductivePotentialMass,MaturityTimeStep,IsAdult,AgeMonths,TimeStepsJuviline,TimeStepsAdult
15,1,1555.5,30404.3,12562.9,4.07522e+006,-2.46243,116,0.5,3,0,4294967295,0,3,3,0
15,2,78.4029,8159.92,8159.92,21199.5,-2.24328,68,0.5,2,5662.79,86,1,51,18,33
15,2,29.5225,3430.62,3430.62,1667.15,-2.34468,66,0.5,2,9117.48,79,1,53,13,40
15,2,108.106,15669.7,15669.7,8.44721,-2.34468,87,0.5,2,7103.76,96,1,32,9,23
15,2,704.97,17001.6,17001.6,923.959,-2.20756,87,0.5,2,9555.03,95,1,32,8,24
15,2,240.427,40829.1,40829.1,9954.62,-2.34468,75,0.5,2,32115.3,93,1,44,18,26
15,2,22.8533,1388.51,1388.51,394.266,-2.34468,90,0.5,2,6235.67,97,1,29,7,22
15,2,164.129,13414.7,13414.7,188190,-2.24328,91,0.5,2,6284.87,111,1,28,20,8
15,2,9.33748,561.545,561.545,154.486,-2.20756,91,0.5,2,3332.04,103,1,28,12,16
15,2,23.6734,4445.46,4445.46,218350,-2.34468,92,0.5,2,9171.16,109,1,27,17,10
15,2,325.797,16203.3,16203.3,222.746,-2.71651,91,0.5,2,11209.2,109,1,28,18,10
15,2,5.61399,343.209,343.209,58.1896,-2.71651,99,0.5,2,1558.41,106,1,20,7,13
15,2,76.7042,1514.4,1514.4,85.3271,-2.30151,99,0.5,2,6878.82,107,1,20,8,12
15,2,15.8579,722.486,722.486,678.577,-2.50065,99,0.5,2,3928.92,108,1,20,9,11
15,2,100.267,15857.6,14079.1,7162.88,-2.34468,99,0.5,2,0,4294967295,0,20,20,0
15,2,376.983,4217.45,4217.45,12253,-2.30426,99,0.5,2,8257.97,109,1,20,10,10
15,2,101.42,5844.77,5844.77,14798.5,-2.24328,99,0.5,2,4110.19,113,1,20,14,6
15,2,74.6767,1207.95,1207.95,30431.4,-2.46243,99,0.5,2,5682.56,107,1,20,8,12
15,2,11.6891,660.692,660.692,12.8075,-2.50065,99,0.5,2,3691.09,107,1,20,8,12
15,2,209.371,2416.42,2416.42,57.6848,-2.30426,99,0.5,2,8347,108,1,20,9,11
15,2,5.83717,462.454,462.454,18.6909,-2.71651,100,0.5,2,2566.37,108,1,19,8,11
15,2,354.518,3032.41,3032.41,25109.4,-2.30426,100,0.5,2,9293.57,108,1,19,8,11
15,2,80.9835,1877.44,1877.44,75495.4,-2.30151,100,0.5,2,7753.25,108,1,19,8,11
15,2,118.14,15482.7,11532.7,195.912,-2.34468,103,0.5,2,0,4294967295,0,16,16,0
15,2,164.277,14776.6,10975.9,2297.88,-2.24328,104,0.5,2,0,4294967295,0,15,15,0
15,2,671.304,16537.7,13423.7,17.2335,-2.20756,104,0.5,2,0,4294967295,0,15,15,0
15,2,12.4257,431.336,431.336,14.2972,-2.50065,101,0.5,2,2607.56,107,1,18,6,12
15,2,260.595,4393.31,4393.31,40659.8,-2.30426,104,0.5,2,7454.54,110,1,15,6,9
