GridcellIndex,FunctionalGroupIndex,TotalBiomass
2565,1,4.41228e+12
2566,0,1.12116e+12
2566,1,9.18342e+12
2567,0,8.5705e+11
2567,1,4.16575e+12
2568,0,1.02082e+12
2568,1,8.22088e+12
2569,0,1.25491e+12
2569,1,9.63153e+12
2570,0,1.50953e+12
2570,1,1.54367e+13
2571,0,1.40036e+12
2571,1,1.30096e+13
2572,0,1.42213e+12
2572,1,1.54182e+13
2628,0,5.52532e+11
2628,1,2.91623e+12
2629,0,2.20007e+12
2629,1,2.75678e+12
2630,0,3.10314e+12
2630,1,4.8069e+12
2631,0,5.93355e+11
2631,1,8.5203e+12
2632,0,1.2158e+12
2632,1,7.8074e+11
2633,0,2.42913e+12
2633,1,1.47215e+12
2634,0,2.35897e+12
2634,1,2.9512e+12
2635,0,2.94714e+12
2635,1,1.99194e+12
2636,0,1.63994e+12
2636,1,6.84152e+12
2637,0,1.08743e+12
2637,1,1.06174e+13
2638,0,1.50467e+12
2638,1,3.62498e+12
2639,0,8.65589e+11
2639,1,2.57617e+12
2640,0,7.63697e+11
2640,1,4.49008e+12
2641,0,1.17763e+12
2641,1,3.17542e+12
2642,0,5.85425e+11
2642,1,6.83552e+12
2643,0,4.86313e+11
2643,1,7.22516e+12
2644,0,6.64294e+11
2644,1,9.53971e+12
2645,0,4.21478e+11
2645,1,4.96957e+12
2646,0,5.16509e+11
2646,1,6.97969e+12
2647,0,8.54452e+11
2647,1,9.41101e+12
2648,0,7.76257e+11
2648,1,7.36593e+12
2649,0,5.3047e+11
2649,1,2.66933e+12
2650,0,8.29732e+11
2650,1,7.14174e+12
2651,0,1.23004e+12
2651,1,8.83407e+12
2652,0,1.49459e+12
2652,1,1.52296e+13
2653,0,1.09068e+12
2653,1,9.82501e+12
2654,0,1.31238e+12
2654,1,1.13478e+13
2655,0,1.19386e+12
2655,1,8.03308e+12
2656,0,8.91541e+11
2656,1,4.97919e+12
2657,0,9.5001e+11
2657,1,5.79801e+12
2658,0,1.08402e+12
2658,1,5.5663e+12
2659,0,7.06064e+11
2659,1,2.4558e+12
2660,0,1.26166e+12
2660,1,1.31796e+13
2661,0,1.29511e+12
2661,1,1.17599e+13
2662,0,1.24015e+12
2662,1,1.15463e+13
2663,0,1.20662e+12
2663,1,8.56373e+12
2664,0,7.01089e+11
2664,1,2.98019e+12
2665,0,1.141e+12
2665,1,8.65871e+12
2666,0,1.1068e+12
2666,1,1.04655e+13
2667,0,1.13083e+12
2667,1,1.20972e+13
2668,0,8.76392e+11
2668,1,6.61498e+12
2669,0,1.10889e+12
2669,1,1.00159e+13
2670,0,1.33288e+12
2670,1,1.33224e+13
2671,0,1.22466e+12
2671,1,1.03382e+13
2672,0,1.35377e+12
2672,1,1.12711e+13
2673,0,1.50632e+12
2673,1,1.84131e+13
2728,0,1.66377e+12
2728,1,7.02967e+12
2729,0,4.11824e+12
2729,1,8.67604e+12
2730,0,9.86603e+11
2730,1,1.29876e+13
2731,0,6.98796e+11
2731,1,7.43959e+12
2732,0,1.17196e+12
2732,1,1.23594e+12
2733,0,1.06657e+12
2733,1,2.55711e+12
2734,0,1.50687e+12
2734,1,3.44646e+12
2735,0,1.37712e+12
2735,1,4.36485e+12
2736,0,9.08791e+11
2736,1,5.26866e+12
2737,0,3.01475e+11
2737,1,4.84315e+12
2738,0,1.01216e+12
2738,1,2.79746e+12
2739,0,1.50374e+12
2739,1,2.62632e+12
2740,0,8.12497e+11
2740,1,5.37752e+12
2741,0,8.31225e+11
2741,1,1.52278e+13
2742,0,4.6819e+11
2742,1,1.5001e+13
2743,0,2.2852e+11
2743,1,4.96013e+12
2744,0,4.81952e+11
2744,1,6.81207e+12
2745,0,5.94588e+11
2745,1,6.96469e+12
2746,0,8.47076e+11
2746,1,6.65043e+12
2747,0,7.76738e+11
2747,1,9.60846e+12
2748,0,7.15422e+11
2748,1,5.62921e+12
2749,0,7.22884e+11
2749,1,5.82109e+12
2750,0,9.01123e+11
2750,1,8.62708e+12
2751,0,1.18355e+12
2751,1,1.2868e+13
2752,0,1.18502e+12
2752,1,1.01709e+13
2753,0,1.1655e+12
2753,1,1.46722e+13
